id_servicio;servicio;id_diagnostico;diagnostico
135;GUARDIA PEDIATRIA;101;CONSULTA Y FICHADO
135;GUARDIA PEDIATRIA;1017;EXTRACCION DE CUERPO EXTRA—O
135;GUARDIA PEDIATRIA;102;CONSULTA CON MEDICACION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;105;CONSULTA DE URGENCIA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;106;INTERCONSULTA
42;GUARDIA OBSTETRICA;10601;INTERCONSULTA CON DERIVACION
135;GUARDIA PEDIATRIA;10602;DERIVACION A RADIOLOGIA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;110;ALTA SALUD BUCAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;802;TRATAMIENTO DE GINGIVITIS POR ARCADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;806;CONTROLES PREVENTIVOS POST TRATAMIENTO
135;GUARDIA PEDIATRIA;A02;OTRAS INFECCIONES DEBIDAS A SALMONELLA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A02.9;INFECCION DEBIDA A SALMONELLA NO ESPEC.
135;GUARDIA PEDIATRIA;A03;SHIGELOSIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A04.9;INFECCION INTESTINAL BACTERIANA NO ESPEC
135;GUARDIA PEDIATRIA;A05;OTRAS INTOXICACIONES ALIMENT.BACTERIANAS
935;GUARDIA AMBULATORIA MOVILES;A05.9;INTOX.ALIMEN.BACTERIANA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A06.0;DISENTERIA AMEBIANA
135;GUARDIA PEDIATRIA;A06.9;AMEBIASIS NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A07;OTRAS ENFERM.INTEST.DEBIDAS A  PROTOZOAR
135;GUARDIA PEDIATRIA;A08;INFECC.INTEST.DEBIDAS A VIRUS Y OTR. ORG
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A08.1;GASTROENTEROPATIA AGUDA DEB. AL NORWALK
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A08.2;ENTERITIS DEBIDA A ADENOVIRUS
123;GUARDIA EMERGENCIA;A08.3;OTRAS ENTERITIS VIRALES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A09;DIARREA Y GASTROENTERITIS DE PRESUNTO OR
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A09.0;OT.GASTROENT.Y COLITIS S/E DE ORIG.INFEC
835;GUARDIA COVID19;A09.9;GASTROENTERITIS Y COLITIS DE ORIGEN S/E
835;GUARDIA COVID19;A15;TUBERCULOSIS RESP.CONFIRM.BACTER.E HISTO
835;GUARDIA COVID19;A15.3;TUBERC.DEL PULMON CONFIR.X MED.NO ESPECI
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A16;TUBERCUL.RESPIRAT. NO CONFIRM.BACT HISTO
835;GUARDIA COVID19;A16.1;TUBERC.PULM.SIN EXAM.BACTER/HISTOLOGICO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A16.2;TUBERC.PULMON SIN MENCION DE CONF.BACT/H
835;GUARDIA COVID19;A16.9;TUBERC.RESPIR.NO ESPEC.SIN MENC.DE CONF.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A18;TUBERCULOSIS DE OTROS ORGANOS
123;GUARDIA EMERGENCIA;A18.2;LINFADENOPATIA PERIFERICA TUBERCULOSA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A22;CARBUNCO(ANTRAX)
135;GUARDIA PEDIATRIA;A22.0;CARBUNCO CUTANEO
135;GUARDIA PEDIATRIA;A22.9;CARBUNCO NO ESPECIFICADO
123;GUARDIA EMERGENCIA;A28.1;ENFERMEDAD POR RASGU—O DE GATO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A30;LEPRA(ENFERMEDAD DE HANDSEN)
42;GUARDIA OBSTETRICA;A31.1;INFECCION CUTANEA POR MICROBACTERIAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A31.9;INFECCION POR MICROBACTERIA NO ESPECIF.
123;GUARDIA EMERGENCIA;A37.9;TOS FERINA- NO ESPECIFICADA
135;GUARDIA PEDIATRIA;A38;ESCARLATINA
123;GUARDIA EMERGENCIA;A39;INFECCION MENINGOCOCICA
123;GUARDIA EMERGENCIA;A40.3;SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A41.9;SEPTICEMIA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A44;BARTONELOSIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A44.9;BARTONELOSIS NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A46;ERISIPELA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A49;INFECC.BACTER.DE SITIO NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A49.9;INFECCION BACTERIANA NO ESPECIFICADA
132;GUARDIA NEONATOLOGICA;A50;SIFILIS CONGENITA
42;GUARDIA OBSTETRICA;A50.0;SIFILIS CONGENITA PRECOZ, SINTOMATICA
123;GUARDIA EMERGENCIA;A51;SIFILIS PRECOZ
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A51.0;SIFILIS GENITAL PRIMARIA
